Model.year,Make,Model,Price (euros)
2018,Hyundai,IONIQ Electric,40950
2022,Hyundai,IONIQ 5 Long Range,49950
2019,Hyundai,Kona Electric,37000
2020,Kia,Soul EV (180 Ah),38990
2021,Kia,Niro EV,41990
2018,Tesla,Model S 75D,80000
2019,Tesla,Model 3 Standard Range,69000
2020,Jaguar,I-PACE,96579
2021,Tesla,Model 3 Performance,63990
2022,MINI,Cooper SE 3 Door,39900
2018,Nissan,LEAF,30000
2018,Tesla,Model X 100D,120000
2019,Audi,e-tron 55 quattro,80000
2019,Tesla,Model X Performance (22 Wheels),130000
2020,Volkswagen,e-Golf,35000
2020,Tesla,Model S Long Range,90000
2021,Volvo,XC40 Recharge,45000
2021,Tesla,Model Y Long Range AWD,60000
2022,Mercedes,EQB 350 4MATIC SUV,55000
2022,Tesla,Model Y Performance,70000
