Model.year,Make,Model,Price (euros),Fuel type
2018,Hyundai,Santa Fe AWD,35000,G
2019,Hyundai,Sonata,29990,G
2020,Hyundai,Veloster Turbo,34990,G
2021,Hyundai,Venue,22950,G
2022,Hyundai,Palisade AWD,51000,G
2018,Volvo,V60 CC T5 AWD,38000,G
2019,Volvo,S60 T5,33100,PG
2020,Volvo,XC90 T6 AWD,92750,PG
2021,Volvo,XC40 T4 AWD,44900,PG
2022,Volvo,XC60 B6 AWD,57900,PG
2018,Jeep,Grand Cherokee 4x4,35000,D
2019,Jeep,Grand Cherokee 4X4 EcoDiesel,50000,D
2020,Jeep,Wrangler Unlimited 4X4 EcoDiesel,43000,D
2021,Jeep,Gladiator 4X4 Eco Pickup,40000,D
2021,Jeep,Gladiator 4X4 EcoDiesel,55000,D
2018,Chevrolet,Cruze Diesel,25000,D
2018,Jaguar,F-PACE 20d,45000,D
2019,Mazda,CX-5 Diesel 4WD,35000,D
2019,Land Rover,Discovery Td6 Diesel,60000,D
2022,Jeep,Gladiator 4X4 Rubicon EcoDiesel,26990,D
2021,Land Rover,Range Rover Td6 Diesel,80000,D
2022,Chevrolet,Tahoe 4WD,65000,D
2022,Jeep,Wrangler JL Unlimited 4X4 EcoDiesel,60000,D
2018,Mercedes,CLA 250,30000,PG
2018,Audi,Q3 quattro,40000,PG
2019,Audi,A3,35000,G
2020,Audi,A3 quattro,40000,G
2020,Audi,A6 quattro,55000,PG
2021,Audi,A4 Sedan 40 TFSI quattro,45000,PG
2022,Mercedes,A 220 4MATIC Sedan,40000,PG
2022,Audi,S3 Sedan quattro,50000,PG
2019,Land Rover,Range Rover Velar D180,67500,D
2018,KIA,STONIC,15000,G
2019,KIA,CEED,17000,G
2020,KIA,RIO,10000,G
2021,KIA,NIRO,28000,G
2022,KIA,PICANTO,15000,G
2018,Ford,EcoSport,18000,G
2019,Ford,Edge AWD,30000,G
2020,Ford,Expedition 4X4,50000,G
2021,Ford,Bronco 4WD,35000,G
2022,Ford,Transit Connect Wagon LWB,25000,G
2018,KIA,SOUL,10000,D
2019,KIA,XCeed,20000,D
2020,KIA,ProCeed,12000,D
2021,KIA,SPORTAGE,14000,D
2022,KIA,SORENTO,20000,D
2018,Ford,F-150,35000,D
2019,Ford,F-150 4X4,40000,D
2020,Ford,F-150 4X4 XL/XLT,42000,D
2021,Ford,F-150 4X4,45000,D
2022,FIAT,500X,15000,D
