Year,Make,Model,Vehicle class,Engine Power (kW),Fuel Type,City (E) (kWh/100 km),Highway (E) (kWh/100 km),Combined (E) (kWh/100 km),City (E) (Le/100 km),Highway (E) (Le/100 km),Combined (E) (Le/100 km),Range (km),Recharge time (h),Price (euros)
2018,BMW,i3,Subcompact,125,E,16.2,19.7,17.8,1.8,2.2,2.0,183,5.0,0
2018,BMW,i3s,Subcompact,135,E,17.1,21.1,18.9,1.9,2.4,2.1,172,5.0,0
2018,Chevrolet,Bolt EV,Station wagon: Small,150,E,16.4,19.0,17.6,1.8,2.1,2.0,383,9.3,0
2018,Ford,Focus Electric,Compact,107,E,17.7,21.8,19.6,2.0,2.5,2.2,185,5.5,29000
2018,Hyundai,IONIQ Electric,Mid-size,88,E,13.7,17.4,15.5,1.6,1.9,1.7,200,4.0,40950
2018,Kia,Soul EV,Station wagon: Small,81,E,16.8,22.4,19.3,1.9,2.5,2.2,179,5.0,0
2018,Nissan,LEAF,Mid-size,110,E,16.9,21.1,18.8,1.9,2.4,2.1,242,8.0,30000
2018,smart,fortwo electric drive cabriolet,Two-seater,60,E,18.7,23.1,20.7,2.1,2.6,2.3,92,3.0,0
2018,smart,fortwo electric drive coupe,Two-seater,60,E,16.9,22.3,19.3,1.9,2.5,2.2,93,3.0,0
2018,Tesla,Model 3 Mid Range,Mid-size,202,E,16.4,17.9,17.1,1.8,2.0,1.9,418,10.0,0
2018,Tesla,Model 3 Long Range,Mid-size,202,E,15.3,17.0,16.1,1.7,1.9,1.8,499,10.0,0
2018,Tesla,Model 3 Long Range AWD,Mid-size,335,E,17.4,18.7,18.0,2.0,2.1,2.0,499,10.0,0
2018,Tesla,Model 3 Long Range AWD Performance,Mid-size,358,E,17.4,18.7,18.0,2.0,2.1,2.0,499,10.0,0
2018,Tesla,Model S (75 kWh),Full-size,285,E,21.5,21.0,21.3,2.4,2.4,2.4,401,12.0,0
2018,Tesla,Model S 75D,Full-size,386,E,20.6,19.9,20.3,2.3,2.2,2.3,417,12.0,80000
2018,Tesla,Model S 100D,Full-size,386,E,20.7,20.5,20.6,2.3,2.3,2.3,539,12.0,0
2018,Tesla,Model S P100D,Full-size,568,E,22.6,20.0,21.5,2.5,2.3,2.4,507,12.0,0
2018,Tesla,Model X 75D,Sport utility vehicle: Standard,386,E,23.0,21.9,22.5,2.6,2.5,2.5,383,12.0,0
2018,Tesla,Model X 100D,Sport utility vehicle: Standard,386,E,24.3,23.7,24.0,2.7,2.7,2.7,475,12.0,120000
2018,Tesla,Model X P100D,Sport utility vehicle: Standard,568,E,25.4,23.6,24.6,2.8,2.7,2.8,465,12.0,0
2018,Volkswagen,e-Golf,Compact,100,E,16.8,18.6,17.4,1.9,2.1,2.0,201,5.3,0
2019,Audi,e-tron 55 quattro,Sport utility vehicle: Standard,300,E,28.0,28.5,28.3,3.2,3.2,3.2,329,10.0,80000
2019,BMW,i3 (120 Ah),Subcompact,125,E,16.8,20.6,18.5,1.9,2.3,2.1,246,7.0,0
