Year,Make,Model,Vehicle class,Engine Capacity (cm3),Fuel Type,City (F) (L/100 km),Highway (F) (L/100 km),Combined (F) (L/100 km),Price (euros)
2018,Acura,ILX,Compact,2400.0,PG,9.4,6.8,8.2,0
2018,Acura,MDX SH-AWD,Sport utility vehicle: Small,3500.0,PG,12.6,9.0,11.0,0
2018,Acura,MDX SH-AWD Elite,Sport utility vehicle: Small,3500.0,PG,12.2,9.0,10.7,0
2018,Acura,MDX Hybrid AWD,Sport utility vehicle: Small,3000.0,PG,9.1,9.0,9.0,0
2018,Acura,NSX,Two-seater,3500.0,PG,11.1,10.8,11.0,0
2018,Acura,RDX AWD,Sport utility vehicle: Small,3500.0,PG,12.4,8.7,10.7,0
2018,Acura,RLX Hybrid,Mid-size,3500.0,PG,8.4,8.2,8.4,0
2018,Acura,TLX,Compact,2400.0,PG,10.0,7.1,8.7,0
2018,Acura,TLX A-SPEC,Compact,2400.0,PG,10.2,7.4,8.9,0
2018,Acura,TLX SH-AWD,Compact,3500.0,PG,11.4,7.7,9.8,0
2018,Acura,TLX SH-AWD A-SPEC,Compact,3500.0,PG,12.0,8.2,10.3,0
2018,Alfa Romeo,4C Coupe,Two-seater,1800.0,PG,9.7,6.9,8.4,0
2018,Alfa Romeo,4C Spider,Two-seater,1800.0,PG,9.7,6.9,8.4,0
2018,Alfa Romeo,Giulia,Mid-size,2000.0,PG,10.0,7.2,8.7,0
2018,Alfa Romeo,Giulia AWD,Mid-size,2000.0,PG,10.5,7.7,9.2,0
2018,Alfa Romeo,Giulia Quadrifoglio,Mid-size,2900.0,PG,13.8,9.6,11.9,0
2018,Alfa Romeo,Stelvio AWD,Sport utility vehicle: Small,2000.0,PG,10.8,8.3,9.6,0
2018,Alfa Romeo,Stelvio Quadrifoglio,Sport utility vehicle: Small,2900.0,PG,14.1,10.4,12.4,0
2018,Aston Martin,DB11 V8,Minicompact,4000.0,PG,13.0,9.8,11.5,0
2018,Aston Martin,DB11 V12,Minicompact,5200.0,PG,15.5,11.4,13.7,0
2018,Aston Martin,Rapide S,Subcompact,6000.0,PG,16.7,10.9,14.1,0
